จังหวัด,โรคสมองเสื่อม,ติดแอลกอฮอล์,ติดยาบ้า (Amphetamine),ติดสารเสพติดอื่นๆ,โรคจิตเภท,โรคจิตอื่นๆ,โรคอารมณ์สองขั้ว,โรคชึมเศร้า,โรควิตกกังวล,ความบกพร่องทางสติปัญญา,ความบกพร่องทางการเรียนรู้,โรคออทิสติก,โรคสมาธิสั้น,พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง),ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป),ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี),โรคทางจิตเวชอื่นๆ,โรคลมชัก,รวม
กรุงเทพมหานคร,714,702,"1,085","2,611","9,654","1,371","1,770","5,966","4,497","1,634",449,"2,146","2,573",66,92,114,"2,775",518,"38,219"
สมุทรปราการ,74,120,168,597,"1,630",284,254,963,926,"1,001",566,"1,985","2,425",16,13,109,979,220,"12,110"
นนทบุรี,227,204,223,745,"1,561",241,542,"1,885","1,402",381,115,375,571,10,22,21,"1,095",157,"9,620"
ปทุมธานี,74,92,129,406,"1,121",131,232,617,376,167,44,195,204,4,3,4,473,51,"4,272"
พระนครศรีอยุธยา,36,45,157,284,452,53,94,166,105,52,5,40,40,3,0,0,546,21,"2,078"
อ่างทอง,20,13,28,88,126,22,24,70,34,14,0,12,9,0,0,1,193,9,654
ลพบุรี,17,20,48,137,183,35,34,112,69,21,0,18,16,0,1,2,513,7,"1,226"
สิงห์บุรี,16,7,20,65,83,11,21,50,47,7,2,9,9,0,0,0,181,4,528
ชัยนาท,109,31,32,194,309,64,32,264,268,31,5,12,19,1,0,1,326,4,"1,698"
สระบุรี,15,22,61,157,160,22,32,95,43,22,4,18,15,2,0,0,597,10,"1,265"
ชลบุรี,18,21,34,542,256,30,66,196,88,48,11,108,79,2,4,10,947,35,"2,460"
ระยอง,6,10,10,232,86,11,23,70,42,12,2,33,23,0,0,0,322,5,882
จันทบุรี,8,18,21,296,71,12,24,70,32,14,0,14,11,0,0,2,369,7,962
ตราด,1,3,2,188,23,7,5,12,9,3,0,12,6,0,0,0,143,3,414
ฉะเชิงเทรา,17,50,67,377,236,44,49,93,66,27,13,63,63,0,0,2,304,13,"1,471"
ปราจีนบุรี,24,82,66,312,227,39,48,144,65,29,8,35,42,0,0,0,236,15,"1,357"
นครนายก,10,15,25,135,117,16,19,43,19,9,0,7,8,0,0,0,177,9,600
สระแก้ว,99,444,246,"1,019",850,191,142,691,427,227,70,170,352,4,1,1,789,43,"5,723"
นครราชสีมา,236,553,175,"1,446","2,476",576,636,"2,225",906,350,116,207,463,116,2,4,"1,614",103,"12,101"
บุรีรัมย์,20,122,73,623,568,93,134,280,131,39,4,25,24,13,0,0,942,16,"3,091"
สุรินทร์,9,45,28,255,175,36,32,113,75,18,7,13,28,1,0,1,456,13,"1,292"
ศรีสะเกษ,44,264,281,"1,137",922,371,150,459,477,113,20,99,180,14,0,12,"1,124",47,"5,667"
อุบลราชธานี,159,923,740,"3,026","3,226","1,186",424,"1,577","1,799",484,93,429,945,24,3,33,920,153,"15,991"
ยโสธร,35,143,156,516,419,168,75,238,249,62,16,59,103,2,1,2,178,13,"2,422"
ชัยภูมิ,77,188,145,557,572,161,123,353,402,43,23,28,54,6,2,7,562,21,"3,303"
อำนาจเจริญ,15,72,72,443,266,90,38,130,158,45,7,41,63,5,0,3,243,18,"1,691"
บึงกาฬ,14,41,96,227,106,40,10,75,87,30,7,54,145,7,1,0,157,4,"1,097"
หนองบัวลำภู,13,149,199,272,186,73,26,105,110,33,11,23,40,0,0,2,264,7,"1,506"
ขอนแก่น,223,898,"1,185","2,281","2,236",587,320,"1,651","2,270",289,168,141,443,28,4,41,"1,138",123,"13,903"
อุดรธานี,48,297,645,834,696,170,86,261,304,54,20,40,68,3,1,6,547,22,"4,080"
เลย,260,917,"1,265",760,"1,168",367,140,"1,449","2,015",218,77,107,519,12,1,13,513,73,"9,801"
หนองคาย,14,92,151,270,253,62,48,109,75,23,12,10,17,0,0,1,272,12,"1,409"
มหาสารคาม,83,278,339,728,712,184,98,318,397,84,33,45,97,2,1,5,475,28,"3,879"
ร้อยเอ็ด,17,75,67,300,252,71,58,191,179,84,47,108,229,3,2,7,389,12,"2,079"
กาฬสินธุ์,48,193,439,929,621,172,85,357,470,75,45,54,120,2,1,5,353,19,"3,969"
สกลนคร,24,126,244,460,416,94,63,219,160,21,11,50,93,22,0,1,599,4,"2,603"
นครพนม,98,318,540,490,"1,032",263,143,556,564,220,43,327,710,26,1,0,263,30,"5,594"
มุกดาหาร,5,41,92,312,131,50,18,73,62,17,8,38,61,3,0,0,123,8,"1,034"
เชียงใหม่,375,803,350,"4,293","1,431",331,737,"2,970","2,296",641,969,"1,149","2,813",15,9,6,"1,843",381,"21,031"
ลำพูน,61,136,71,295,186,49,94,386,247,50,39,123,155,3,0,0,347,42,"2,242"
ลำปาง,51,48,50,252,141,49,67,226,176,41,34,106,154,0,0,0,613,20,"2,008"
อุตรดิตถ์,8,12,17,111,52,11,14,72,40,6,4,17,8,1,0,0,97,4,470
แพร่,26,53,25,111,116,21,39,126,75,24,14,68,51,0,0,0,229,17,978
น่าน,6,11,3,106,35,8,15,65,41,11,13,50,44,1,0,0,364,6,773
พะเยา,36,40,24,195,109,30,66,192,102,26,23,82,86,0,0,0,377,22,"1,388"
เชียงราย,36,121,119,"2,372",234,57,106,293,194,67,50,114,170,2,1,0,722,25,"4,658"
แม่ฮ่องสอน,14,40,24,413,75,12,29,176,89,36,44,78,137,2,0,0,146,18,"1,315"
นครสวรรค์,169,121,83,404,701,124,112,497,475,69,3,31,26,0,1,1,486,17,"3,303"
อุทัยธานี,27,23,8,152,153,25,16,78,92,15,4,12,9,0,0,0,386,4,"1,000"
กำแพงเพชร,28,35,25,240,173,35,34,111,81,13,5,22,14,0,0,0,327,13,"1,143"
ตาก,13,18,18,468,52,8,33,71,35,7,7,28,21,0,0,0,220,4,999
สุโขทัย,21,30,32,134,96,19,28,74,57,13,3,16,14,0,1,1,397,6,936
พิษณุโลก,30,51,35,190,188,20,34,150,153,14,3,22,17,1,1,0,570,12,"1,479"
พิจิตร,26,20,18,128,134,18,25,93,70,8,3,10,8,0,0,0,480,3,"1,041"
เพชรบูรณ์,70,116,142,954,383,83,54,271,258,32,4,32,30,1,0,2,548,15,"2,980"
ราชบุรี,28,22,32,425,167,39,65,143,78,18,7,19,22,4,2,1,456,11,"1,528"
กาญจนบุรี,12,22,68,742,208,37,44,112,73,18,4,17,24,3,1,1,440,6,"1,826"
สุพรรณบุรี,35,67,193,428,352,55,79,223,122,32,7,28,24,12,1,3,541,11,"2,202"
นครปฐม,100,125,161,407,733,144,156,944,620,92,49,86,210,18,5,5,459,37,"4,314"
สมุทรสาคร,44,54,116,247,415,87,108,415,302,61,14,67,97,11,1,1,283,22,"2,323"
สมุทรสงคราม,6,5,17,64,131,18,12,58,31,5,0,10,7,1,2,1,85,3,453
เพชรบุรี,14,11,38,131,102,22,24,91,36,5,1,17,18,4,2,2,209,3,727
ประจวบคีรีขันธ์,17,34,101,435,159,37,32,92,57,11,3,20,17,4,1,0,344,10,"1,364"
นครศรีธรรมราช,125,166,433,"1,527","1,008",324,233,513,503,128,6,43,55,8,1,1,"1,091",33,"6,165"
กระบี่,38,40,158,462,224,87,66,208,214,47,10,45,118,7,1,0,190,12,"1,915"
พังงา,8,13,58,264,74,21,27,50,38,15,2,2,11,1,0,0,320,6,904
ภูเก็ต,5,8,17,252,75,19,27,65,43,5,1,7,8,3,0,0,272,2,807
สุราษฎร์ธานี,239,410,860,"2,505","1,778",536,334,"1,463","2,011",548,296,447,"1,270",42,4,5,"1,622",150,"14,370"
ระนอง,6,15,35,182,65,29,25,88,88,12,1,9,8,2,0,1,96,3,662
ชุมพร,50,83,146,593,349,112,92,317,294,48,6,19,41,6,3,0,380,18,"2,539"
สงขลา,153,161,488,"1,855","1,060",312,348,992,"1,083",68,74,191,348,2,1,0,861,41,"7,997"
สตูล,13,10,89,268,149,48,54,135,131,18,18,23,42,0,0,0,112,4,"1,110"
ตรัง,18,14,77,280,195,46,66,97,75,6,2,7,9,0,0,0,245,4,"1,137"
พัทลุง,64,63,207,446,378,129,169,263,298,26,10,22,35,0,1,1,356,7,"2,468"
ปัตตานี,15,9,24,292,95,28,40,69,60,3,3,8,3,0,0,0,223,3,872
ยะลา,7,4,32,198,100,27,44,67,47,1,1,6,7,0,0,0,105,2,646
นราธิวาส,11,7,50,806,141,31,50,88,69,8,1,6,9,1,2,0,182,6,"1,462"
ไม่ทราบ,747,764,"1,121","14,037","3,863",914,652,"3,351","3,211",911,134,708,781,10,4,8,"8,718",228,"39,934"
รวม,"5,679","11,419","14,919","61,915","49,658","11,400","10,368","37,941","33,370","9,160","3,934","10,917","17,788",562,201,450,"47,839","3,088","327,520"
